Player,Você sabia que o elefante é o unico mamifero que não consegue pular?,Daniel Moto,Danilo Motor_0,Luca Martins_0,NPC1
NPC,Você sabia que o Turiter foi lançado em 2006,Lucas Narins,Danilo Motor_0,Luca Martins_0,NPC2
Player,"Você sabia que Mamonas Assasinas é só o nome da banda, eles nunca mataram ninguém",Daniel Moto,Danilo Motor_0,Luca Martins_0,NPC1
NPC,Você sabia que a Gloria Groove já dublou o Chase do patrulha canina,Lucas Narins,Danilo Motor_0,Luca Martins_0,NPC2
NPC,Ou será que foi o Ney Matogrosso?,Daniel Moto,Danilo Motor_0,Luca Martins_0,NPC2
Player,Você sabia que meu colega não é bom de memória,Lucas Narins,Danilo Motor_0,Luca Martins_0,NPC1
NPC,Você sabia que isso aqui é um jogo,Daniel Moto,Danilo Motor_0,Luca Martins_0,NPC2
Player,"Puxa vinheta e se você é um f###nha, deixa um joinha",Lucas Narins,Danilo Motor_0,Luca Martins_0,NPC1
Player,Ta bom então,Lelê,Lele_mov_frente,Luca Martins_0,Lele
Player,"Você sabia que em uma panela funda, acrescente o leite condensado, a margarina e o chocolate em pó. Cozinhe em fogo médio e mexa até que o brigadeiro comece a desgrudar da panela.Deixe esfriar e faça pequenas bolas com a mão, passe a massa no chocolate granulado.",Daniel Moto,Danilo Motor_0,Luca Martins_0,
